Location,Lat,Lon,p,e
"Evelyn	Lewisham	London",51.485862,-0.034828,6980,36950
"Forest Hill	Lewisham	London",51.439778,-0.054642,6670,49880
"Grove Park	Lewisham	London",51.435473,0.020279,6290,43660
"Ladywell	Lewisham	London",51.454559,-0.022312,5740,48990
"Lee Green	Lewisham	London",51.463582,0.004675,6210,52300
"Lewisham Central	Lewisham	London",51.437692,-0.051923,8250,43180
"New Cross	Lewisham	London",51.471022,-0.040245,6950,38070
"Perry Vale	Lewisham	London",51.435123,-0.046842,6760,47470
"Rushey Green	Lewisham	London",51.447302,-0.018435,6490,41830
"Sydenham	Lewisham	London",51.42476,-0.059399,6900,44810
"Telegraph Hill	Lewisham	London",51.467806,-0.044844,6730,45020
"Whitefoot	Lewisham	London",51.433299,0.00735,5740,39620
"Abbey	Merton	London",51.416085,-0.185232,4680,62540
"Cannon Hill	Merton	London",51.40181,-0.216822,3520,57720
"Colliers Wood	Merton	London",51.41717,-0.179942,4490,52340
"Cricket Green	Merton	London",51.400872,-0.165995,4360,39970
"Dundonald	Merton	London",51.416594,-0.208294,4080,70060
"Figge's Marsh	Merton	London",51.413133,-0.160238,4360,41200
"Graveney	Merton	London",51.429784,-0.170135,3650,47680
"Hillside	Merton	London",51.419994,-0.219987,4380,72750
"Lavender Fields	Merton	London",51.409228,-0.170661,4120,44570
"Longthornton	Merton	London",51.408361,-0.138997,3810,45940
"Lower Morden	Merton	London",51.402305,-0.169717,3470,52260
"Merton Park	Merton	London",51.411406,-0.208017,3770,64060
"Pollards Hill	Merton	London",51.401445,-0.12317,3900,42640
"Ravensbury	Merton	London",51.441058,-0.190812,3950,43160
"Raynes Park	Merton	London",51.406696,-0.23224,4430,69100
"St. Helier	Merton	London",51.3899,-0.19875,4110,43430
"Trinity	Merton	London",51.421693,-0.197064,4350,65820
"Village	Merton	London",51.448446,-0.199277,3640,92240
"West Barnes	Merton	London",51.397779,-0.238714,3810,60630
"Wimbledon Park	Merton	London",51.434534,-0.199526,4390,71450
"Beckton	Newham	London",51.510493,0.067811,5770,40180
"Boleyn	Newham	London",51.53886,0.029471,4930,37370
"Canning Town North	Newham	London",51.514105,0.01874,5830,34390
"Canning Town South	Newham	London",51.514105,0.01874,6540,38770
"Custom House	Newham	London",51.509866,0.026244,5040,37610
"East Ham Central	Newham	London",51.529318,0.052763,4550,38210
"East Ham North	Newham	London",51.528737,0.055472,3630,38170
"East Ham South	Newham	London",51.528737,0.055472,5190,37150
"Forest Gate North	Newham	London",51.545791,0.024397,5690,40370
"Forest Gate South	Newham	London",51.545791,0.024397,5910,40710
"Green Street East	Newham	London",51.538595,0.033368,4210,37310
"Green Street West	Newham	London",51.538595,0.033368,4020,36760
"Little Ilford	Newham	London",51.55163,0.058857,5190,35280
"Manor Park	Newham	London",51.549395,0.048641,4720,37310
"Plaistow North	Newham	London",51.527552,0.012627,5160,36380
"Plaistow South	Newham	London",51.527552,0.012627,5410,37500
"Royal Docks	Newham	London",51.513839,0.070573,4880,45530
"Stratford and New Town	Newham	London",51.507351,-0.127758,8210,42220
"Wall End	Newham	London",51.536762,0.061442,4330,38150
"West Ham	Newham	London",51.538265,0.014525,5350,38130
"Aldborough	Redbridge	London",51.589492,0.103124,4960,45980
"Barkingside	Redbridge	London",51.588497,0.080808,4400,49040
"Bridge	Redbridge	London",51.605984,0.057462,4900,48640
"Chadwell	Redbridge	London",51.581452,0.118146,5290,45180
"Church End	Redbridge	London",51.584549,-0.011744,5150,57150
"Clayhall	Redbridge	London",51.584166,0.062276,4040,51550
"Clementswood	Redbridge	London",51.553101,0.073299,4510,37160
"Cranbrook	Redbridge	London",51.568319,0.054683,4100,47260
"Fairlop	Redbridge	London",51.59219,0.081033,5170,46300
"Fullwell	Redbridge	London",51.574818,0.050754,4950,43880
"Goodmayes	Redbridge	London",51.563944,0.110134,4380,41520
"Hainault	Redbridge	London",51.608139,0.10079,5300,38700
"Loxford	Redbridge	London",51.548665,0.079912,5100,35150
"Mayfield	Redbridge	London",51.605111,0.023655,4400,43790
"Monkhams	Redbridge	London",51.620238,0.035386,4470,62140
"Newbury	Redbridge	London",51.575104,0.092449,5290,43690
"Roding	Redbridge	London",51.578267,0.067526,4810,50980
"Seven Kings	Redbridge	London",51.566967,0.093946,4800,42350
"Snaresbrook	Redbridge	London",51.58405,0.018068,5470,56800
"Valentines	Redbridge	London",51.558126,0.067694,4930,42870
"Wanstead	Redbridge	London",51.576451,0.021154,4600,58560
"Barnes	Richmond upon Thames	London",51.475265,-0.239303,4470,80160
"East Sheen	Richmond upon Thames	London",51.462851,-0.267883,4210,81320
"Fulwell and Hampton Hill	Richmond upon Thames	London",51.432379,-0.348814,4330,68550
Ham,51.458948,-0.308818,4550,62050
"Hampton	Richmond upon Thames	London",51.413394,-0.366712,4300,65120
"Hampton North	Richmond upon Thames	London",51.414148,-0.361323,4150,53560
"Hampton Wick	Richmond upon Thames	London",51.413541,-0.321331,4680,65130
"Heathfield	Richmond upon Thames	London",51.451858,-0.336576,3910,49870
"Kew	Richmond upon Thames	London",51.475251,-0.284891,5180,74260
"Mortlake and Barnes Common	Richmond upon Thames	London",51.468125,-0.241399,5070,70740
"North Richmond	Richmond upon Thames	London",51.461311,-0.303742,4950,72050
"St. Margarets & North Twickenham	Richmond upon Thames	London",51.470875,-0.328423,4640,75550
"South Richmond	Richmond upon Thames	London",51.461311,-0.303742,5380,75230
"South Twickenham	Richmond upon Thames	London",51.444581,-0.335246,4120,72960
"Teddington	Richmond upon Thames	London",51.426799,-0.331342,4790,71610
"Twickenham Riverside	Richmond upon Thames	London",51.447558,-0.315743,4950,72910
"West Twickenham	Richmond upon Thames	London",51.444581,-0.335246,4370,62320
"Whitton	Richmond upon Thames	London",51.453848,-0.373265,3890,57850
"Brunswick Park	Southwark	London",51.474953,-0.085455,5650,46940
"Camberwell Green	Southwark	London",51.475193,-0.092234,6510,41140
"Cathedrals	Southwark	London",51.497659,-0.107548,7100,52610
"Chaucer	Southwark	London",51.489755,-0.074095,6780,48920
"College	Southwark	London",51.502914,-0.105903,5340,55720
"East Dulwich	Southwark	London",51.454564,-0.07321,5370,64860
"East Walworth	Southwark	London",51.489876,-0.092897,5180,40110
"Faraday	Southwark	London",51.499414,-0.092081,5340,39800
"Grange	Southwark	London",51.495835,-0.077162,7760,49920
"Livesey	Southwark	London",51.48303,-0.066078,5650,37520
"Newington	Southwark	London",51.500194,-0.103378,7060,44150
"Nunhead	Southwark	London",51.464821,-0.055261,5940,43310
"Peckham	Southwark	London",51.474191,-0.069137,5730,38900
"Peckham Rye	Southwark	London",51.460511,-0.060837,5990,56040
"Riverside	Southwark	London",51.507762,-0.094864,7590,56470
"Rotherhithe	Southwark	London",51.498235,-0.045992,6550,47830
"South Bermondsey	Southwark	London",51.48814,-0.05465,6030,40280
"South Camberwell	Southwark	London",51.474085,-0.093014,5260,53610
"Surrey Docks	Southwark	London",51.497596,-0.049638,6240,59870
"The Lane	Southwark	London",51.508708,-0.094148,6660,49140
"Village	Southwark	London",51.502781,-0.087738,4710,80780
"Beddington North	Sutton	London",51.368509,-0.134218,4090,48270
"Beddington South	Sutton	London",51.368509,-0.134218,4190,43390
"Belmont	Sutton	London",51.343119,-0.198743,4460,55230
"Carshalton Central	Sutton	London",51.354235,-0.17284,4380,52290
"Carshalton South and Clockhouse	Sutton	London",51.507351,-0.127758,3620,55240
"Cheam	Sutton	London",51.361927,-0.218926,4030,58070
"Nonsuch	Sutton	London",51.360026,-0.217831,4070,52920
"St. Helier	Sutton	London",51.385429,-0.178818,4540,37720
"Stonecot	Sutton	London",51.382952,-0.214831,3920,48160
"Sutton Central	Sutton	London",51.378911,-0.242302,5430,43470
"Sutton North	Sutton	London",51.361428,-0.193961,4210,46630
"Sutton South	Sutton	London",51.361428,-0.193961,5050,49870
"Sutton West	Sutton	London",51.372949,-0.205482,4800,51470
"The Wrythe	Sutton	London",51.373354,-0.175639,4360,44940
"Wallington North	Sutton	London",51.363978,-0.151845,4800,47500
"Wallington South	Sutton	London",51.363978,-0.151845,4620,46490
"Wandle Valley	Sutton	London",51.419893,-0.178781,4870,39290
"Worcester Park	Sutton	London",51.38029,-0.24468,4980,50070
"Bethnal Green North	Tower Hamlets	London",51.526974,-0.06672,5740,47380
"Bethnal Green South	Tower Hamlets	London",51.526974,-0.06672,5860,43160
"Blackwall and Cubitt Town	Tower Hamlets	London",51.508296,-0.003815,9840,56890
"Bow East	Tower Hamlets	London",51.530627,-0.028353,7080,48110
"Bow West	Tower Hamlets	London",51.530627,-0.028353,5080,53680
"Bromley-by-Bow	Tower Hamlets	London",51.522444,-0.008645,6210,42100
"East India and Lansbury	Tower Hamlets	London",51.507351,-0.127758,5560,39370
"Limehouse	Tower Hamlets	London",51.51324,-0.035233,6790,47410
"Mile End and Globe Town	Tower Hamlets	London",51.522517,-0.041814,5620,44940
"Mile End East	Tower Hamlets	London",51.526806,-0.039713,5360,42740
"Millwall	Tower Hamlets	London",51.49767,-0.020534,12780,62060
"St. Dunstan's and Stepney Green	Tower Hamlets	London",51.501869,-0.092163,5850,43240
"St. Katherine's and Wapping	Tower Hamlets	London",51.5044,-0.055746,6430,67760
"Shadwell	Tower Hamlets	London",51.511218,-0.050716,6150,47540
"Spitalfields and Banglatown	Tower Hamlets	London",51.507351,-0.127758,5120,52210
"Weavers	Tower Hamlets	London",51.522706,-0.067059,5730,49350
"Whitechapel	Tower Hamlets	London",51.513949,-0.070728,6740,49140
"Cann Hall	Waltham Forest	London",51.555378,0.011371,4910,39010
"Cathall	Waltham Forest	London",51.559786,0.004342,4590,36980
"Chapel End	Waltham Forest	London",51.599222,-0.015747,5030,43550
"Chingford Green	Waltham Forest	London",51.635007,0.011015,4680,47150
"Endlebury	Waltham Forest	London",51.625402,-0.003447,4350,46250
"Forest	Waltham Forest	London",51.570247,0.01212,4410,43100
"Grove Green	Waltham Forest	London",51.56701,0.005673,5390,43440
"Hale End and Highams Park	Waltham Forest	London",51.607554,-0.003815,4240,47420
"Hatch Lane	Waltham Forest	London",51.618714,0.004447,4630,43140
"High Street	Waltham Forest	London",51.583287,-0.02667,5630,41540
"Higham Hill	Waltham Forest	London",51.593388,-0.030667,5010,37350
"Hoe Street	Waltham Forest	London",51.582821,-0.018319,5530,41630
"Larkswood	Waltham Forest	London",51.615276,-0.013932,4550,41980
"Lea Bridge	Waltham Forest	London",51.562137,-0.045763,5620,37560
"Leyton	Waltham Forest	London",51.561948,-0.013139,5520,37090
"Leytonstone	Waltham Forest	London",51.568463,0.009983,4940,46400
"Markhouse	Waltham Forest	London",51.575148,-0.029574,5020,40300
"Valley	Waltham Forest	London",51.625341,-0.021916,4490,40860
"William Morris	Waltham Forest	London",51.59047,-0.028096,5030,41860
"Wood Street	Waltham Forest	London",51.586305,-0.002407,5490,41930
"Balham	Wandsworth	London",51.442831,-0.152614,6440,76280
"Bedford	Wandsworth	London",51.439404,-0.155508,6480,64470
"Earlsfield	Wandsworth	London",51.441971,-0.187674,6740,61190
"East Putney	Wandsworth	London",51.458868,-0.210977,7570,68740
"Fairfield	Wandsworth	London",51.45791,-0.19015,6910,68040
"Furzedown	Wandsworth	London",51.427091,-0.152778,6170,51860
"Graveney	Wandsworth	London",51.429784,-0.170135,6290,51450
"Latchmere	Wandsworth	London",51.468314,-0.163255,7480,47200
"Nightingale	Wandsworth	London",51.450228,-0.157353,6430,71740
"Northcote	Wandsworth	London",51.457078,-0.165644,6460,80510
"Queenstown	Wandsworth	London",51.475956,-0.147902,8400,53840
"Roehampton	Wandsworth	London",51.453886,-0.245483,6240,40880
"St. Mary's Park	Wandsworth	London",51.479221,-0.165685,8300,61760
"Shaftesbury	Wandsworth	London",51.429137,-0.178377,6570,71090
"Southfields	Wandsworth	London",51.447491,-0.199689,7080,67330
"Thamesfield	Wandsworth	London",51.457072,-0.181782,6850,79730
"Tooting	Wandsworth	London",51.420845,-0.168075,6230,48630
"Wandsworth Common	Wandsworth	London",51.453165,-0.169008,5650,72820
"West Hill	Wandsworth	London",51.453456,-0.212072,6830,55010
"West Putney	Wandsworth	London",51.460574,-0.21718,6520,59490
"Abbey Road	Westminster	London",51.535052,-0.180758,5900,90170
"Bayswater	Westminster	London",51.513434,-0.183801,5870,85610
"Bryanston and Dorset Square	Westminster	London",51.519455,-0.157098,7560,88470
"Churchill	Westminster	London",51.493717,-0.147363,5020,65830
"Church Street	Westminster	London",51.522775,-0.171286,4910,44380
"Harrow Road	Westminster	London",51.522592,-0.193959,5440,58030
"Hyde Park	Westminster	London",51.507268,-0.16573,7830,79530
"Knightsbridge and Belgravia	Westminster	London",51.502092,-0.159415,6050,176950
"Lancaster Gate	Westminster	London",51.51165,-0.179702,7500,84280
"Little Venice	Westminster	London",51.5222,-0.180528,5110,83230
"Maida Vale	Westminster	London",51.527928,-0.183626,4720,77170
"Marylebone High Street	Westminster	London",51.519973,-0.151808,6800,103240
"Queen's Park	Westminster	London",51.532856,-0.20398,5130,53520
"Regent's Park	Westminster	London",51.531271,-0.156969,7020,78810
"St. James's	Westminster	London",51.506993,-0.13606,7180,90820
"Tachbrook	Westminster	London",51.490487,-0.136876,5030,80420
"Vincent Square	Westminster	London",51.493043,-0.133748,5840,78880
"Warwick	Westminster	London",51.511132,-0.137464,5460,86200
"Westbourne	Westminster	London",51.515295,-0.191661,5520,53730
"West End	Westminster	London",51.51509,-0.133648,8000,95940
