Location,Lat,Lon,p,e
"Petts Wood and Knoll	Bromley	London",51.37632,0.092636,5580,63410
"Plaistow and Sundridge	Bromley	London",51.406381,0.033906,6840,50000
"Shortlands	Bromley	London",51.399212,0.004141,4300,62610
"West Wickham	Bromley	London",51.375798,-0.014861,5870,59830
"Belsize	Camden	London",51.548974,-0.169787,6490,84280
"Bloomsbury	Camden	London",51.519205,-0.124262,5450,62190
"Camden Town with Primrose Hill	Camden	London",51.538449,-0.154993,6320,71650
"Cantelowes	Camden	London",51.545164,-0.129838,5320,60060
"Fortune Green	Camden	London",51.555445,-0.19444,5280,73370
"Frognal and Fitzjohns	Camden	London",51.551706,-0.158826,5480,99430
"Gospel Oak	Camden	London",51.556394,-0.148184,4930,61590
"Hampstead Town	Camden	London",51.549856,-0.18176,5560,104710
"Haverstock	Camden	London",51.547859,-0.160552,5410,54740
"Highgate	Camden	London",51.571188,-0.149069,5010,75250
"Holborn and Covent Garden	Camden	London",51.517935,-0.109928,6850,61920
"Kentish Town	Camden	London",51.547304,-0.142005,5720,63670
"Kilburn	Camden	London",51.537076,-0.191135,6200,53190
"King's Cross	Camden	London",51.533334,-0.132231,5040,50390
"Regent's Park	Camden	London",51.532692,-0.141995,6000,52460
"St. Pancras and Somers Town	Camden	London",51.53989,-0.135574,5760,46850
"Swiss Cottage	Camden	London",51.543532,-0.174862,6630,79860
"West Hampstead	Camden	London",51.547358,-0.190436,5880,72450
"Addiscombe	Croydon	London",51.38055,-0.072275,7570,46520
"Ashburton	Croydon	London",51.377272,-0.074541,5550,47220
"Bensham Manor	Croydon	London",51.396111,-0.09788,6160,40730
"Broad Green	Croydon	London",51.389331,-0.111988,7010,37670
"Coulsdon East	Croydon	London",51.319941,-0.141267,4980,52750
"Coulsdon West	Croydon	London",51.319941,-0.141267,4940,58380
"Croham	Croydon	London",51.353139,-0.089384,6960,52180
"Fairfield	Croydon	London",51.362683,-0.028541,8020,47920
"Fieldway	Croydon	London",51.507351,-0.127758,4030,32760
"Heathfield	Croydon	London",51.365321,-0.097223,5620,48780
"Kenley	Croydon	London",51.32633,-0.102494,5950,54850
"New Addington	Croydon	London",51.348184,-0.017094,4010,35060
"Norbury	Croydon	London",51.414661,-0.114299,6050,44870
"Purley	Croydon	London",51.339228,-0.119711,5880,55480
"Sanderstead	Croydon	London",51.334791,-0.081587,4920,59000
"Selhurst	Croydon	London",51.393247,-0.087384,7620,37920
"Selsdon and Ballards	Croydon	London",51.355611,-0.064937,4570,56510
"Shirley	Croydon	London",51.373975,-0.05293,5660,48410
"South Norwood	Croydon	London",51.400208,-0.075726,7930,41840
"Thornton Heath	Croydon	London",51.396747,-0.105523,6820,40960
"Upper Norwood	Croydon	London",51.41792,-0.08475,6650,45670
"Waddon	Croydon	London",51.375938,-0.113658,7160,42100
"West Thornton	Croydon	London",51.349329,-0.086817,6190,39350
"Woodside	Croydon	London",51.389349,-0.065779,7070,41170
